,PI,H-Index
345,Aldo Rustichini,76
346,Robin Morris,68
347,Ramiro Berardo,27
348,Brent Chamberlain,12
349,Andrea Garber,21
350,George Neumann,44
351,Nancy Kanwisher,116
352,Timothy Pleskac,31
353,Barbara Flynn,47
354,John Schelhas,31
355,Elissa Cohen,6
356,Todd Cherry,35
357,James Boyd,53
358,Deborah Phillips,70
359,Matthew Nisbet,51
360,Michael Shelly,70
361,Hadi Dowlatabadi,47
362,Eric Friedman,33
363,John Kruse,26
364,Lynsay Ayer,25
365,Diana Wall,110
366,Joseph Johnson,26
367,William Schulze,55
368,Shuyi Chen,43
369,Michele Gelfand,93
370,Peter List,13
371,Jeffrey Niederdeppe,60
372,Janet Box-Steffensmeier,37
373,E. Tory Higgins,147
374,Glenn Shafer,57
375,Brenda Major,103
376,Gerianne Alexander,44
377,Susan Cabrera,2
378,Eva Telzer,66
379,Michael Moore,136
380,Nadia Seeteram,6
381,Justin Sydnor,21
382,Eitan Gernster,32
383,Arika Virapongse,12
384,Jennifer Devenport,15
385,Robert McKelvey,25
386,Dominique Brossard,66
387,Robin Gregory,2
388,Caryn Christensen,21
389,Trent Cash,2
390,Nancy Tuana,42
391,Nicholas Bloom,96
392,Marcia Johnson,114
393,Ellen Peters,80
394,Julie Downs,37
395,Nathan Cook,34
396,Brad Murray,23
397,Krassimira Paskaleva,19
398,Alfred Marcus,66
399,Joseph Cesario,30
400,Clark Miller,39
401,William Neilson,125
402,Sungjong Roh,16
403,Claude Miller,26
404,Diego Gomez-Zara,9
405,Jeffrey Stanton,48
406,Meghna Babbar-Sebens,20
407,Clifford Russell,37
408,LYLE UNGAR,97
409,Jacob Hochard,11
410,JoAnne Shatkin,27
411,Loretta Pyles,25
412,Yang Zhang,88
413,Blair Flicker,3
414,Jeremy Wolfe,94
415,Nicholas Flores,70
416,Deena Kemp,39
417,Steven Jones,157
418,Heather Lazrus,30
419,Anne Tsui,79
420,Priti Shah,44
421,Paul Wilson,198
422,Kathryn Stam,17
423,Matthew Shapiro,54
424,Margaret Meloy,21
425,Ramzi Suleiman,29
426,Eytan Adar,55
427,Brad Barber,44
428,Mark Spearman,25
429,Katherine Dickinson,30
430,Jun Zhuang,98
431,David Frank,50
432,David Cohan,124
433,Lisa Zaval,15
434,Scott Robinson,60
435,Sean Drummond,54
436,Nathan Nunn,42
437,Haoran Chu,18
438,Richard Zeckhauser,107
439,Sheheryar Banuri,12
440,Hannah Brenkert-Smith,22
441,Cynthia Frantz,19
442,Aimee Kane,30
443,John Coles,70
444,Thomas James,112
445,Tarla Peterson,45
446,Stephen Le,71
447,James Bettman,77
448,Chenna Reddy Cotla,4
449,Joan Peckham,17
450,Kareen Rozen,12
451,Gerardine DeSanctis,56
452,Roy Gardner,33
453,Howard Thomas,101
454,Edwards Ward,6
455,Erika Weinthal,38
456,Michael Johnson,54
457,Mark Nichter,69
458,Erica Groshen,24
459,Sherri Jean Katz,12
460,Douglas Bernheim,73
461,Sahara Byrne,22
462,Yi-Chun Hong,56
463,Dan Kahan,69
464,Marianne Bertrand,67
465,John Abowd,59
466,Salvatore March,34
467,Janice Nadler,29
